id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year
335982,2007/08,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,RCB,KKR,RCB,field,KKR,runs,140.0,223.0,20.0,N,Normal,Asad Rauf,RE Koertzen,2008
335983,2007/08,Chandigarh,2008-04-19,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",PK,CSK,CSK,bat,CSK,runs,33.0,241.0,20.0,N,Normal,MR Benson,SL Shastri,2008
335984,2007/08,Delhi,2008-04-19,League,MF Maharoof,Feroz Shah Kotla,DC,RR,RR,bat,DC,wickets,9.0,130.0,20.0,N,Normal,Aleem Dar,GA Pratapkumar,2008
335985,2007/08,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,MI,RCB,MI,bat,RCB,wickets,5.0,166.0,20.0,N,Normal,SJ Davis,DJ Harper,2008
335986,2007/08,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,KKR,SRH,SRH,bat,KKR,wickets,5.0,111.0,20.0,N,Normal,BF Bowden,K Hariharan,2008
335987,2007/08,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,RR,PK,PK,bat,RR,wickets,6.0,167.0,20.0,N,Normal,Aleem Dar,RB Tiffin,2008
335988,2007/08,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",SRH,DC,SRH,bat,DC,wickets,9.0,143.0,20.0,N,Normal,IL Howell,AM Saheba,2008
335989,2007/08,Chennai,2008-04-23,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",CSK,MI,MI,field,CSK,runs,6.0,209.0,20.0,N,Normal,DJ Harper,GA Pratapkumar,2008
335990,2007/08,Hyderabad,2008-04-24,League,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",SRH,RR,RR,field,RR,wickets,3.0,215.0,20.0,N,Normal,Asad Rauf,MR Benson,2008
335991,2007/08,Chandigarh,2008-04-25,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",PK,MI,MI,field,PK,runs,66.0,183.0,20.0,N,Normal,Aleem Dar,AM Saheba,2008
335992,2007/08,Bangalore,2008-04-26,League,SR Watson,M Chinnaswamy Stadium,RCB,RR,RR,field,RR,wickets,7.0,136.0,20.0,N,Normal,MR Benson,IL Howell,2008
335993,2007/08,Chennai,2008-04-26,League,JDP Oram,"MA Chidambaram Stadium, Chepauk",CSK,KKR,KKR,bat,CSK,wickets,9.0,148.0,20.0,N,Normal,BF Bowden,AV Jayaprakash,2008
335994,2007/08,Mumbai,2008-04-27,League,AC Gilchrist,Dr DY Patil Sports Academy,MI,SRH,SRH,field,SRH,wickets,10.0,155.0,20.0,N,Normal,Asad Rauf,SL Shastri,2008
335995,2007/08,Chandigarh,2008-04-27,League,SM Katich,"Punjab Cricket Association Stadium, Mohali",PK,DC,DC,bat,PK,wickets,4.0,159.0,20.0,N,Normal,RE Koertzen,I Shivram,2008
335996,2007/08,Bangalore,2008-04-28,League,MS Dhoni,M Chinnaswamy Stadium,RCB,CSK,CSK,bat,CSK,runs,13.0,179.0,20.0,N,Normal,BR Doctrove,RB Tiffin,2008
335997,2007/08,Kolkata,2008-04-29,League,ST Jayasuriya,Eden Gardens,KKR,MI,KKR,bat,MI,wickets,7.0,138.0,20.0,N,Normal,BF Bowden,AV Jayaprakash,2008
335998,2007/08,Delhi,2008-04-30,League,GD McGrath,Feroz Shah Kotla,DC,RCB,RCB,field,DC,runs,10.0,192.0,20.0,N,Normal,Aleem Dar,I Shivram,2008
335999,2007/08,Hyderabad,2008-05-01,League,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",SRH,PK,PK,field,PK,wickets,7.0,165.0,20.0,N,Normal,BR Doctrove,RB Tiffin,2008
336000,2007/08,Jaipur,2008-05-01,League,SA Asnodkar,Sawai Mansingh Stadium,RR,KKR,RR,bat,RR,runs,45.0,197.0,20.0,N,Normal,RE Koertzen,GA Pratapkumar,2008
336001,2007/08,Chennai,2008-05-02,League,V Sehwag,"MA Chidambaram Stadium, Chepauk",CSK,DC,CSK,bat,DC,wickets,8.0,170.0,20.0,N,Normal,BF Bowden,K Hariharan,2008
336003,2007/08,Chandigarh,2008-05-03,League,IK Pathan,"Punjab Cricket Association Stadium, Mohali",PK,KKR,PK,bat,PK,runs,9.0,179.0,20.0,N,Normal,DJ Harper,I Shivram,2008
336034,2007/08,Bangalore,2008-05-03,League,P Kumar,M Chinnaswamy Stadium,RCB,SRH,SRH,field,RCB,runs,3.0,157.0,20.0,N,Normal,BR Doctrove,SL Shastri,2008
336004,2007/08,Mumbai,2008-05-04,League,SM Pollock,Dr DY Patil Sports Academy,MI,DC,DC,field,MI,runs,29.0,163.0,20.0,N,Normal,IL Howell,RE Koertzen,2008
336005,2007/08,Jaipur,2008-05-04,League,Sohail Tanvir,Sawai Mansingh Stadium,RR,CSK,CSK,bat,RR,wickets,8.0,110.0,20.0,N,Normal,Asad Rauf,AV Jayaprakash,2008
336006,2007/08,Bangalore,2008-05-05,League,S Sreesanth,M Chinnaswamy Stadium,RCB,PK,PK,field,PK,wickets,6.0,127.0,20.0,N,Normal,SJ Davis,BR Doctrove,2008
336007,2007/08,Chennai,2008-05-06,League,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",CSK,SRH,SRH,field,SRH,wickets,7.0,145.0,20.0,N,Normal,MR Benson,RB Tiffin,2008
336008,2007/08,Mumbai,2008-05-07,League,A Nehra,Dr DY Patil Sports Academy,MI,RR,MI,field,MI,wickets,7.0,104.0,20.0,N,Normal,DJ Harper,RE Koertzen,2008
336009,2007/08,Delhi,2008-05-08,League,MS Dhoni,Feroz Shah Kotla,DC,CSK,CSK,field,CSK,wickets,4.0,188.0,20.0,N,Normal,Aleem Dar,RB Tiffin,2008
336010,2007/08,Kolkata,2008-05-08,League,SC Ganguly,Eden Gardens,KKR,RCB,KKR,bat,KKR,runs,5.0,130.0,16.0,N,Normal,Asad Rauf,IL Howell,2008
336011,2007/08,Jaipur,2008-05-09,League,YK Pathan,Sawai Mansingh Stadium,RR,SRH,RR,field,RR,wickets,8.0,141.0,20.0,N,Normal,MR Benson,AM Saheba,2008
336013,2007/08,Chennai,2008-05-10,League,L Balaji,"MA Chidambaram Stadium, Chepauk",CSK,PK,PK,field,CSK,runs,18.0,182.0,20.0,N,Normal,AV Jayaprakash,BG Jerling,2008
336014,2007/08,Hyderabad,2008-05-11,League,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",SRH,KKR,KKR,bat,KKR,runs,23.0,205.0,20.0,N,Normal,IL Howell,AM Saheba,2008
336015,2007/08,Jaipur,2008-05-11,League,SR Watson,Sawai Mansingh Stadium,RR,DC,RR,field,RR,wickets,3.0,157.0,20.0,N,Normal,SJ Davis,RE Koertzen,2008
336016,2007/08,Chandigarh,2008-05-12,League,SE Marsh,"Punjab Cricket Association Stadium, Mohali",PK,RCB,RCB,bat,PK,wickets,9.0,144.0,20.0,N,Normal,BR Doctrove,I Shivram,2008
336017,2007/08,Kolkata,2008-05-13,League,Shoaib Akhtar,Eden Gardens,KKR,DC,KKR,bat,KKR,runs,23.0,134.0,20.0,N,Normal,Asad Rauf,IL Howell,2008
336018,2007/08,Mumbai,2008-05-14,League,ST Jayasuriya,Wankhede Stadium,MI,CSK,MI,field,MI,wickets,9.0,157.0,20.0,N,Normal,BR Doctrove,AM Saheba,2008
336020,2007/08,Delhi,2008-05-15,League,A Mishra,Feroz Shah Kotla,DC,SRH,SRH,field,DC,runs,12.0,195.0,20.0,N,Normal,BG Jerling,GA Pratapkumar,2008
336021,2007/08,Mumbai,2008-05-16,League,SM Pollock,Wankhede Stadium,MI,KKR,MI,field,MI,wickets,8.0,68.0,20.0,N,Normal,BR Doctrove,DJ Harper,2008
336022,2007/08,Delhi,2008-05-17,League,DPMD Jayawardene,Feroz Shah Kotla,DC,PK,DC,bat,PK,runs,6.0,89.0,8.0,N,D/L,AV Jayaprakash,RE Koertzen,2008
336023,2007/08,Jaipur,2008-05-17,League,GC Smith,Sawai Mansingh Stadium,RR,RCB,RCB,field,RR,runs,65.0,198.0,20.0,N,Normal,BF Bowden,SL Shastri,2008
336024,2007/08,Hyderabad,2008-05-18,League,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",SRH,MI,SRH,field,MI,runs,25.0,179.0,20.0,N,Normal,BR Doctrove,DJ Harper,2008
336025,2007/08,Kolkata,2008-05-18,League,M Ntini,Eden Gardens,KKR,CSK,KKR,bat,CSK,runs,3.0,53.0,8.0,N,D/L,Asad Rauf,K Hariharan,2008
336026,2007/08,Bangalore,2008-05-19,League,SP Goswami,M Chinnaswamy Stadium,RCB,DC,DC,field,DC,wickets,5.0,155.0,20.0,N,Normal,SJ Davis,GA Pratapkumar,2008
336027,2007/08,Kolkata,2008-05-20,League,YK Pathan,Eden Gardens,KKR,RR,RR,field,RR,wickets,6.0,148.0,20.0,N,Normal,BG Jerling,RE Koertzen,2008
336028,2007/08,Mumbai,2008-05-21,League,SE Marsh,Wankhede Stadium,MI,PK,MI,field,PK,runs,1.0,190.0,20.0,N,Normal,BF Bowden,GA Pratapkumar,2008
336029,2007/08,Chennai,2008-05-21,League,A Kumble,"MA Chidambaram Stadium, Chepauk",CSK,RCB,RCB,bat,RCB,runs,14.0,127.0,20.0,N,Normal,DJ Harper,I Shivram,2008
336031,2007/08,Chandigarh,2008-05-23,League,SE Marsh,"Punjab Cricket Association Stadium, Mohali",PK,SRH,PK,field,PK,wickets,6.0,176.0,20.0,N,Normal,Asad Rauf,SJ Davis,2008
336032,2007/08,Delhi,2008-05-24,League,KD Karthik,Feroz Shah Kotla,DC,MI,DC,field,DC,wickets,5.0,177.0,20.0,N,Normal,BF Bowden,K Hariharan,2008
336033,2007/08,Chennai,2008-05-24,League,JA Morkel,"MA Chidambaram Stadium, Chepauk",CSK,RR,RR,bat,RR,runs,10.0,212.0,20.0,N,Normal,DJ Harper,SL Shastri,2008
336002,2007/08,Hyderabad,2008-05-25,League,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",SRH,RCB,SRH,bat,RCB,wickets,5.0,166.0,20.0,N,Normal,Asad Rauf,RE Koertzen,2008
336035,2007/08,Kolkata,2008-05-25,League,Umar Gul,Eden Gardens,KKR,PK,PK,bat,KKR,wickets,3.0,175.0,20.0,N,Normal,SJ Davis,I Shivram,2008
336036,2007/08,Jaipur,2008-05-26,League,Sohail Tanvir,Sawai Mansingh Stadium,RR,MI,RR,field,RR,wickets,5.0,146.0,20.0,N,Normal,BF Bowden,K Hariharan,2008
336037,2007/08,Hyderabad,2008-05-27,League,SK Raina,"Rajiv Gandhi International Stadium, Uppal",SRH,CSK,SRH,bat,CSK,wickets,7.0,148.0,20.0,N,Normal,BG Jerling,AM Saheba,2008
336012,2007/08,Bangalore,2008-05-28,League,CRD Fernando,M Chinnaswamy Stadium,RCB,MI,MI,field,MI,wickets,9.0,123.0,18.0,N,Normal,BF Bowden,AV Jayaprakash,2008
336019,2007/08,Chandigarh,2008-05-28,League,SE Marsh,"Punjab Cricket Association Stadium, Mohali",PK,RR,RR,field,PK,runs,41.0,222.0,20.0,N,Normal,SJ Davis,K Hariharan,2008
336038,2007/08,Mumbai,2008-05-30,Semi Final,SR Watson,Wankhede Stadium,DC,RR,DC,field,RR,runs,105.0,193.0,20.0,N,Normal,BF Bowden,RE Koertzen,2008
336039,2007/08,Mumbai,2008-05-31,Semi Final,M Ntini,Wankhede Stadium,CSK,PK,PK,bat,CSK,wickets,9.0,113.0,20.0,N,Normal,Asad Rauf,DJ Harper,2008
336040,2007/08,Mumbai,2008-06-01,Final,YK Pathan,Dr DY Patil Sports Academy,CSK,RR,RR,field,RR,wickets,3.0,164.0,20.0,N,Normal,BF Bowden,RE Koertzen,2008
392181,2009,Cape Town,2009-04-18,League,SR Tendulkar,Newlands,CSK,MI,CSK,field,MI,runs,19.0,166.0,20.0,N,Normal,BR Doctrove,K Hariharan,2009
392182,2009,Cape Town,2009-04-18,League,R Dravid,Newlands,RCB,RR,RCB,bat,RCB,runs,75.0,134.0,20.0,N,Normal,BR Doctrove,RB Tiffin,2009
392183,2009,Cape Town,2009-04-19,League,DL Vettori,Newlands,DC,PK,DC,field,DC,wickets,10.0,54.0,6.0,N,D/L,MR Benson,SD Ranade,2009
392184,2009,Cape Town,2009-04-19,League,RP Singh,Newlands,SRH,KKR,KKR,bat,SRH,wickets,8.0,102.0,20.0,N,Normal,MR Benson,BR Doctrove,2009
392185,2009,Port Elizabeth,2009-04-20,League,M Muralitharan,St George's Park,RCB,CSK,CSK,bat,CSK,runs,92.0,180.0,20.0,N,Normal,BG Jerling,SJA Taufel,2009
392186,2009,Durban,2009-04-21,League,CH Gayle,Kingsmead,PK,KKR,KKR,field,KKR,runs,11.0,69.0,9.2,N,D/L,DJ Harper,SD Ranade,2009
392188,2009,Cape Town,2009-04-22,League,AC Gilchrist,Newlands,RCB,SRH,SRH,bat,SRH,runs,24.0,185.0,20.0,N,Normal,M Erasmus,AM Saheba,2009
392189,2009,Durban,2009-04-23,League,AB de Villiers,Kingsmead,CSK,DC,DC,bat,DC,runs,9.0,190.0,20.0,N,Normal,BR Doctrove,SJA Taufel,2009
392190,2009,Cape Town,2009-04-23,League,YK Pathan,Newlands,KKR,RR,KKR,field,RR,tie,0.0,151.0,20.0,Y,Normal,MR Benson,M Erasmus,2009
392191,2009,Durban,2009-04-24,League,RS Bopara,Kingsmead,RCB,PK,RCB,bat,PK,wickets,7.0,169.0,20.0,N,Normal,BR Doctrove,TH Wijewardene,2009
392192,2009,Durban,2009-04-25,League,PP Ojha,Kingsmead,SRH,MI,SRH,bat,SRH,runs,12.0,169.0,20.0,N,Normal,HDPK Dharmasena,SJA Taufel,2009
392194,2009,Port Elizabeth,2009-04-26,League,TM Dilshan,St George's Park,RCB,DC,RCB,bat,DC,wickets,6.0,150.0,20.0,N,Normal,S Asnani,BG Jerling,2009
392195,2009,Cape Town,2009-04-26,League,KC Sangakkara,Newlands,PK,RR,PK,bat,PK,runs,27.0,140.0,20.0,N,Normal,M Erasmus,K Hariharan,2009
392196,2009,Durban,2009-04-27,League,HH Gibbs,Kingsmead,CSK,SRH,SRH,field,SRH,wickets,6.0,166.0,20.0,N,Normal,IL Howell,TH Wijewardene,2009
392197,2009,Port Elizabeth,2009-04-27,League,SR Tendulkar,St George's Park,KKR,MI,MI,bat,MI,runs,92.0,188.0,20.0,N,Normal,BG Jerling,RB Tiffin,2009
